State,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,8,15,19,34,49,64,68,71
AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,38,38,48,79,89,122,138,157,188,233,342,455,517
AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,25,29,35,40,58,71,90,102,152,232,354,380
AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,31,46,49,70,115,160,193,242,318,398,742,1006,1252,1392
CA,1,2,8,22,34,37,37,54,54,68,71,74,74,89,91,96,273,404,552,802,1220,1539,1845,2401,3019,5881,11973,14685,17233,18487
CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,23,53,70,111,172,226,318,429,556,827,1372,1801,2279,2466
CT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,42,77,91,131,175,246,268,300,354,393,453,616,1051,1318
DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,22,29,55,70,91,120,159,185,289,344,396,412
DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,13,20,22,38,43,49,71,128,169,222,257
FL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,200,243,290,410,511,700,902,1131,1432,2068,2789,3444,3939
GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,81,92,125,194,269,356,474,569,767,1321,1605,1996,2215
HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,67,86,95,112,127,153,162,188,226,303,354,394,444
IA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,27,28,34,44,55,68,85,108,154,240,312,384,431
ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,14,33,58,72,80,95,108,138,165,210,246
IL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,13,90,120,147,191,233,292,365,455,576,866,1114,1372,1516
IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,44,50,61,74,93,114,155,187,216,296,421,578,666
KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,27,48,62,82,117,143,156,190,205,443,494,572,610
KY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,19,22,29,40,64,82,100,129,192,246,307,341
LA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,28,30,34,43,56,80,94,105,119,138,198,274,315
MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,61,74,100,153,182,204,281,414,804,1851,2444,3015,3411
MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63,113,129,163,234,318,391,518,631,777,1143,1442,1822,1932
ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,18,35,66,105,123,147,179,208,278,399,491,518
MI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,54,67,97,122,158,191,254,315,402,709,1135,1505,1634
MN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,24,45,62,81,103,140,192,252,321,472,601,767,894
MO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,29,34,41,87,135,242,274,332,418,948,1058,1306,1391
MS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,26,28,36,52,60,72,88,103,122,167,191
MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,15,24,30,41,48,61,70,102,128,140
NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,39,124,137,171,219,263,343,417,526,647,955,1212,1624,1874
ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,6,15,23,48,67,78,99,104
NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,9,17,33,41,48,64,83,160,212,259,283
NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,19,26,40,65,82,85,104,114,124,154,211,266,297
NJ,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,56,65,86,105,134,167,214,322,409,624,993,1376,1575
NM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,13,23,31,41,49,64,97,163,200,283,344
NV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,10,44,64,82,110,134,180,216,389,500,631,679
NY,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,71,85,96,132,222,357,493,670,1042,1656,2615,3494,4292,4791
OH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,76,92,114,149,195,249,308,415,522,854,1257,1619,1809
OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,20,20,22,28,32,51,67,107,218,264,307,357,383
OR,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,13,47,79,95,119,164,243,289,366,470,567,817,1004,1312,1465
PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,88,102,135,174,220,256,324,468,617,966,1360,1809,2021
PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,3,15,16,17
RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,22,27,30,33,36,70,95,128,238,305,337,373
SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,36,94,96,106,134,144,172,202,233,274,361,447,610,677
SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,9,20,20,23,31,39,41,55,73,101,110
TN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,57,71,76,97,118,158,191,228,280,345,569,716,955,1032
TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100,122,135,175,278,377,481,686,875,1215,1926,2651,3361,3824
UT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,27,27,42,72,78,95,163,238,364,693,818,947,1014
VA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,82,106,146,206,287,361,466,570,695,1015,1266,1660,1801
VT,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,3,8,13,34,56,92,111,148,178,205,284,353,403,450
WA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,76,122,137,187,260,336,430,556,741,931,1508,1853,2379,2602
WI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,12,40,46,85,104,124,141,164,201,235,340,474,614,703
WV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,14,20,24,28,66,70,72,78,99,132,152,170
WY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,20,26,39,49,54,56,65,82,107,120
